Andorra;regiones_244_76648;;plain_text;0;
Canillo;regiones_244_76648;;plain_text;0;
Encamp;regiones_244_76648;;plain_text;0;
Ordino;regiones_244_76648;;plain_text;0;
La Massana;regiones_244_76648;;plain_text;0;
Andorra la Vieja;regiones_244_76648;;plain_text;0;
San Julián de Loria;regiones_244_76648;;plain_text;0;
Escaldes-Engordany;regiones_244_76648;;plain_text;0;
Argentina;regiones_244_76648;;plain_text;0;
Ciudad de Buenos Aires;regiones_244_76648;;plain_text;0;
Provincia de Buenos Aires;regiones_244_76648;;plain_text;0;
Catamarca;regiones_244_76648;;plain_text;0;
Chaco;regiones_244_76648;;plain_text;0;
Chubut;regiones_244_76648;;plain_text;0;
Córdoba;regiones_244_76648;;plain_text;0;
Corrientes;regiones_244_76648;;plain_text;0;
Entre Ríos;regiones_244_76648;;plain_text;0;
Formosa;regiones_244_76648;;plain_text;0;
Jujuy;regiones_244_76648;;plain_text;0;
La Pampa;regiones_244_76648;;plain_text;0;
La Rioja;regiones_244_76648;;plain_text;0;
Mendoza;regiones_244_76648;;plain_text;0;
Misiones;regiones_244_76648;;plain_text;0;
Neuquén;regiones_244_76648;;plain_text;0;
Río Negro;regiones_244_76648;;plain_text;0;
Salta;regiones_244_76648;;plain_text;0;
San Juan;regiones_244_76648;;plain_text;0;
San Luis;regiones_244_76648;;plain_text;0;
Santa Cruz;regiones_244_76648;;plain_text;0;
Santa Fe;regiones_244_76648;;plain_text;0;
Santiago del Estero;regiones_244_76648;;plain_text;0;
Tierra del Fuego;regiones_244_76648;;plain_text;0;
Tucumán;regiones_244_76648;;plain_text;0;
Bolivia;regiones_244_76648;;plain_text;0;
Beni;regiones_244_76648;;plain_text;0;
Chuquisaca;regiones_244_76648;;plain_text;0;
Cochabamba;regiones_244_76648;;plain_text;0;
La Paz;regiones_244_76648;;plain_text;0;
Oruro;regiones_244_76648;;plain_text;0;
Pando;regiones_244_76648;;plain_text;0;
Potosí;regiones_244_76648;;plain_text;0;
Santa Cruz;regiones_244_76648;;plain_text;0;
Tarija;regiones_244_76648;;plain_text;0;
Chile;regiones_244_76648;;plain_text;0;
Arica y Parinacota;regiones_244_76648;;plain_text;0;
Tarapacá;regiones_244_76648;;plain_text;0;
Antofagasta;regiones_244_76648;;plain_text;0;
Atacama;regiones_244_76648;;plain_text;0;
Coquimbo;regiones_244_76648;;plain_text;0;
Valparaíso;regiones_244_76648;;plain_text;0;
Metropolitana de Santiago;regiones_244_76648;;plain_text;0;
Libertador General Bernardo O'Higgins;regiones_244_76648;;plain_text;0;
Maule;regiones_244_76648;;plain_text;0;
Biobío;regiones_244_76648;;plain_text;0;
La Araucanía;regiones_244_76648;;plain_text;0;
Los Ríos;regiones_244_76648;;plain_text;0;
Los Lagos;regiones_244_76648;;plain_text;0;
Aysén del General Carlos Ibáñez del Campo;regiones_244_76648;;plain_text;0;
Magallanes y Antártica Chilena;regiones_244_76648;;plain_text;0;
Colombia;regiones_244_76648;;plain_text;0;
Amazonas;regiones_244_76648;;plain_text;0;
Antioquia;regiones_244_76648;;plain_text;0;
Arauca;regiones_244_76648;;plain_text;0;
Atlántico;regiones_244_76648;;plain_text;0;
Bolívar;regiones_244_76648;;plain_text;0;
Boyacá;regiones_244_76648;;plain_text;0;
Caldas;regiones_244_76648;;plain_text;0;
Caquetá;regiones_244_76648;;plain_text;0;
Casanare;regiones_244_76648;;plain_text;0;
Cauca;regiones_244_76648;;plain_text;0;
Cesar;regiones_244_76648;;plain_text;0;
Chocó;regiones_244_76648;;plain_text;0;
Córdoba;regiones_244_76648;;plain_text;0;
Cundinamarca;regiones_244_76648;;plain_text;0;
Guainía;regiones_244_76648;;plain_text;0;
Guaviare;regiones_244_76648;;plain_text;0;
